Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones
CCCCCC/C=C\CC(=O)N[C@@H](Cc1ccc(O)cc1)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](CO)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](CO)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H]1/C=C/C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2ccc(O)cc2)C(=O)OC1)C(C)C)C(C)C)C(C)C,6.4963277777777755,6.376606230158729,6.436467003968252
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O[C@H](CO)Cc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)[C@@H](C)CC,6.418277777777783,6.454652539682538,6.436465158730161
COC1=C(Br)[C@@H](O)[C@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC[N+](C)(C)C)cc1Br)=NO2,6.624732222222222,6.246980376984124,6.435856299603173
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC[N+](C)(C)C)cc1Br)=NO2,6.624732222222222,6.246980376984124,6.435856299603173
C/C=C(/NC(=O)[C@@H](NC(=O)CNC(=O)C(C)C(O)/C=C\C(C)=C\C(C)CC)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@H]1C(=O)N[C@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@@H](C)O)C(=O)N[C@H]([C@H](OC)c2ccc(O)cc2)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]1C(C)C)[C@@H](C)[C@@H](C)C(N)=O,6.433427777777776,6.437920674603172,6.435674226190474
C[N+](C)(C)CCCOc1c(Br)cc(C/C(=N\O)C(=O)NCCc2[nH]c(N)nc2-c2cc(O)c3[nH]cc(O)c(=O)c3c2O)cc1Br,6.376483333333335,6.494506309523807,6.435494821428571
COc1cccc2[nH]cc(C[C@H]3C(=O)N[C@@H](C(C)C)C(=O)NC([C@H](O)c4ccccc4)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(=O)N(C)[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N3C)c12,6.484905555555553,6.385144232804231,6.435024894179892
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CCN(C)C)cc1Br)=NO2,6.62297111111111,6.246980376984124,6.434975744047617
C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](C)C1,6.4747833333333356,6.395157466931215,6.434970400132276
Oc1c(Br)c(Br)c(Br)c(Br)c1Oc1ccccc1Br,6.268813333333333,6.598789154401159,6.433801243867246
CCCCCCCCCCCCCCC/C=C/C[C@@H](O)[C@@H](O)[C@@H](NC(=O)[C@H](O)CCCCCCCCCCCCCCCCCCCCCC)O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)COC)[C@H]([C@@H](O)C(O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O,6.330744444444447,6.535766706349201,6.433255575396824
COc1ccc(C[C@H](N)C(=O)NCCc2cc(Br)c(OCCCN(C)C)c(Br)c2)cc1Br,6.512351111111109,6.351861717171715,6.432106414141412
CC[C@@H](C)[C@H]1C(=O)N(C)[C@@H](Cc2ccc(OC)c(Br)c2)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)O)OC)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]2CC[C@@H](O)N1C2=O,6.45726111111111,6.404149246031743,6.430705178571426
CNCCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccc(OC)c(Br)c2)=N/O)cc1Br,6.543606666666663,6.3176366468253935,6.430621656746029
CNCCCOc1ccc(CCNC(=O)/C(Cc2cc(Br)c(OC)c(Br)c2)=N\O)cc1Br,6.543606666666663,6.3176366468253935,6.430621656746029
CC[C@@H](C)[C@@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)N(C)C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](Cc1ccccc1)NC(=O)COC,6.430372222222222,6.429876130952379,6.4301241765873005
