Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski
CC[C@H](C)[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)/C(C)=C/[C@H]2CSC(=N2)[C@@H](C)[C@@H](O)C[C@H](C)C[C@@H](C(C)(C)C)OC(=O)[C@@H]2CCCN2C1=O,6.478172222222224,6.16700772486772,6.322589973544972,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCNC=C3C(=O)CC(Cl)C3=O)cc1Br)[C@@H]2O,6.549952222222221,6.09375549182299,6.321853857022606,1
COC1=C(C)C(=O)C2=C(C1=O)[C@@H]1[C@@H]3CC4=C(C(=O)C(OC)=C(C)C4=O)[C@H](CO)N3[C@@H](CC(C)=O)[C@H](C2)N1C,6.371688888888889,6.266598297258294,6.319143593073592,1
Oc1cc(COCc2cc(O)c(O)c(Br)c2)cc(Br)c1O,6.188824444444449,6.446449626623382,6.317637035533915,0
CCC(C)[C@@H]1NC(=O)[C@@H]2[C@@H](C)CCN2C(=O)[C@@H](C[C@H](O)CCl)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,6.433118888888893,6.201488512566133,6.317303700727512,1
O=S(=O)(O)Oc1cc(CO)c(Br)c(Br)c1OS(=O)(=O)O,6.246856666666671,6.386582142857146,6.316719404761908,0
CC(C)=CC(=O)NCCCOc1c(I)cc(CCNC(=O)Cc2ccc(O)cc2)cc1I,6.44406666666666,6.187624137806633,6.315845402236647,1
CO/C(=C1/NC(=O)[C@@H](Cc2ccc(O)c(Br)c2)N(C)C(=O)[C@H](C)NC(=O)C[C@H](O)C/C=C(\C)CC[C@H](C)OC1=O)c1ccccc1,6.42448555555556,6.206776349206344,6.315630952380952,1
COC1=C(Br)C(O)C2(C=C1Br)CC(C(=O)NCC(O)c1cc(Br)c(OC[C@@H]3COC(=O)N3)c(Br)c1)=NO2,6.460609999999998,6.169133300264548,6.3148716501322735,1
Cc1cc(O)cc(Oc2cc(O)cc(CO)c2)c1,6.323242222222222,6.304866997294374,6.314054609758298,0
CC(C)=CC(=O)NCCCOc1c(Br)cc(CCNC(=O)Cc2ccc(O)cc2)cc1I,6.44042777777777,6.187624137806633,6.314025957792202,1
